date,contributor,hours,rate,category,description
2026-04-30,Marcus,2.0,150,engineering,"Harvest import: payment records, sent recipients, real timestamps, refresh on re-import"
2026-04-30,Marcus,1.5,150,engineering,"Invoice activity log: history timeline + actor resolution + viewer-local TZ"
2026-04-30,Marcus,1.5,150,engineering,"Invoice PDF redesign: branded wordmark + Net N + payments rollup + discount support"
2026-04-30,Marcus,1.5,150,engineering,"Time entries: lock invoiced rows + week-cell lock + force-undo path"
2026-04-30,Marcus,1.0,150,engineering,"New invoice flow: live preview, range presets, grouping radio, Since-last-invoice default"
2026-04-30,Marcus,1.0,150,engineering,"Sidebar IA: SETUP section + breadcrumbs + [ shortcut + small-viewport trim"
2026-04-30,Marcus,1.0,150,engineering,"Ticket linking: Harvest external_reference + Jira-key parse + Use-as-description"
2026-04-30,Marcus,0.5,150,engineering,"Forms: 12-col grid + field-sizing rubric"
2026-05-01,Marcus,1.0,150,engineering,"Force-undo: pre-clear invoiced links + invoices-before-projects + AppError.refusal"
2026-05-01,Marcus,1.0,150,admin,"Silent-error sweep + table-style standardization + promotion-candidates doc"
2026-05-01,Marcus,0.5,150,admin,"Company tracking: docs/company/* (CSV + categories + formation) + seed script"
